id,CAGE-Code,GP-Nummer,Kreditor-Nr,Name 1
2,CE195,1000056525,0002169619,2 DIRECT GMBH
3,U8726,1000055282,0002129774,3 Com Uk Ltd
4,4LTM,1000034559,0002006582,3A Technology & Management AG
5,64034,1000050669,0002068388,3Com Corporation
6,31791,1000058433,0002196383,3DBM CO INC
7,DN967,1000057486,0002162267,3DCONNEXION GMBH
8,R4325,1000058906,0002194778,3L Office Products A/S
9,S7014,1000030709,0002001042,3M (Schweiz) GmbH
10,SJM53,1000053071,0002111030,3M (Schweiz) GmbH
11,R0844,1000053734,0002121440,3M A/S
12,0KHE3,1000056753,0002153181,3M Aerospace and Aircraft
13,09581,1000056109,0002151808,3M Canada Inc
14,1A9T3,1000054910,0002126675,3M CO Adhesives Div
15,52152,1000053780,0002120911,3M Co USA
16,6A670,1000054127,0002121381,3M Company
17,1DWR5,1000054841,0002127901,3M Company
18,9L291,1000056494,0002174305,3M Company
19,53387,1000048286,0002040799,3M Corporation
20,D2607,1000049593,0002058234,3M Deutschland GmbH
21,H7034,1000049344,0002057371,3M E.C.C. Europa BV
22,F0347,1000049880,0002062249,3M France
23,A3445,1000057343,0002183080,3M ITALIA SRL
24,K8767,1000057366,0002187512,3M UNITED KINGDOM PLC
25,04963,1000050002,0002062227,3M-Minnesota Mining & Mfg Co
26,SZ779,1000004103,0002004920,3S Systemtechnik AG
27,3P4J9,1000052940,0002101268,5.11 Inc.
28,1YP27,1000053870,0002123494,9X Media Inc
29,15309,1000051193,0002071305,A and M Instrument Inc.
30,K2323,1000050284,0002066383,A B Connectors Ltd
31,31218,1000051737,0002087725,A M I Industries Inc.
32,55332,1000049217,0002051674,A M Machine Co Inc
33,F0712,1000053628,0002116710,A Raymond Et Cie
34,13222,1000049461,0002057415,A T Parker Inc
35,F2817,1000052023,0002082111,A. Borrelly SARL
36,7L7J1,1000059268,0002196290,"A. G. LAYNE, INC."
37,AE491,1000051655,0002080527,A.E.B. Srl
38,C1481,1000046343,0002023238,A.I.M. München Vertriebs GmbH
39,A4057,1000052565,0002095461,A.M.R.A. S.p.A.
40,CF167,1000058816,0002196819,A.R.T. Elektromechanik GmbH
41,F0318,1000050380,0002068502,A.T.I. Electronique
42,00784,1000047258,0002034249,"A.T.I. Tools, Inc."
43,1C5K1,1000058395,0002180715,AAF-MCQUAY INC.
44,9X645,1000053860,0002113870,AAR Manufacturing Inc
45,DL684,1000054545,0002141943,Aaronia AG
46,1N6F3,1000051060,0002068947,Aavid Thermalloy LLC
47,S5628,1000046855,0002026196,Aba of Sweden AB
48,05RN8,1000057379,0002171048,Abaco Systems
49,A9323,1000058040,0002190481,ABAG SRL
50,S8749,1000050434,0002068241,ABB Control AB
51,F0647,1000051469,0002069456,ABB Control SA
52,FAL02,1000058326,0002196558,ABB FRANCE
53,SU815,1000012403,0002011147,ABB INDUSTRIAL SOLUTIONS
54,U4147,1000059294,0002196199,ABB LTD
55,SV578,1000045323,0002002249,ABB Schweiz AG
56,SQ301,1000046209,0002021002,ABB Schweiz AG
57,SX581,1000047011,0002025895,ABB Schweiz AG
58,S5730,1000047557,0002034800,ABB Schweiz AG
59,91967,1000051044,0002073676,Abbatron
60,D9053,1000054220,0002121577,ABB-Stotz-Kontakt GmbH
61,SBC06,1000059767,0002005085,ABC - Zentrum
62,00658,1000057526,0002177161,ABC ACQUISITION COMPANY
63,D6509,1000055718,0002147199,ABEBA Spezialschuhausstatter GmbH
64,66886,1000055424,0002136578,AbelConn LLC
65,22374,1000054264,0002121788,Abex Corp
66,D3874,1000047051,0002033271,ABL Sursum
67,S5047,1000051981,0002077730,Abloy Oy
68,S4558,1000011259,0002001988,Abnox AG
69,3KDW2,1000053469,0002107169,Abracon Corporation
70,70127,1000046112,0002022345,"Abscoa Industries, Inc."
71,55927,1000056811,0002150994,Absocold Corp.
72,3AC42,1000055782,0002145311,ABSOPULSE Electronics Ltd
73,D9764,1000047078,0002033304,ABUS
74,CE394,1000058254,0002191858,ABUS SECURITY CENTER GMBH & CO.KG
75,C7241,1000049650,0002058861,ACAL GmbH
76,F0063,1000049297,0002049494,ACC la Jonchère
77,F3904,1000050498,0002068460,Accel Accessoires Electroniques
78,0LMK8,1000056841,0002163897,ACCELE ELCTRONICS
79,01976,1000059303,0002196361,ACCO INDUSTRIES INC SUB OF BABCOCK
80,79805,1000049031,0002049752,ACCO Material Handling Solutions
81,A4265,1000058415,0002179412,ACCU ITALIA SPA
82,0XHB4,1000048495,0002045810,Acculogic Inc
83,28977,1000057392,0002166289,Accurate Precision Fasteners Corp
84,51506,1000048601,0002047546,Accurate Screw Machine Co.
85,95110,1000049931,0002057538,Accurate Threaded Fastners Screws
86,C2738,1000050360,0002067224,Accuride International GmbH
87,U3934,1000055434,0002137284,Accuride International Limited
88,H1K78,1000051346,0002074176,ACD Shelter techniek B.V.
89,C4617,1000050709,0002072412,ACE Stossdämpfer GmbH
90,0T2T3,1000051093,0002073133,Acer America Corp
91,H2863,1000059467,0002005850,Acheson Colloiden Bv
92,F5606,1000046699,0002027132,Acheson France S.A.
